Route_ID,Distance_Meters,Duration_Seconds,Duration_Minutes,Latitude,Longitude,LatLong
vGRbz0IE4rHwdfsf-JtHtVIPi4BRIpX0v7_zXgXQCNmr0NTABITV-A==,5125.704,1256.26,21.0,37.75472,-122.4212,"37.75472,-122.4212"
Rd-nbfVFx8vXTBOM_Cd1VjzQsuRs06Ipqji4al3qQUsEBt92MRghZQ==,3392.329,899.855,15.0,37.80867300000001,-122.409821,"37.80867300000001,-122.409821"
XWb0aKUDiy4yWZWWWD9JgTJtzyiGs3D8jvvDQWeXjeecSDCOkbAkHQ==,5214.932,1002.969,17.0,37.78284,-122.463137,"37.78284,-122.463137"
waIK7zeDvZxqVWI24V6_WPNEsVmMoWYpZg6BAWZYD_spQw4z39kAKA==,2232.918,609.123,10.0,37.78522,-122.43157,"37.78522,-122.43157"
V5vKxbVlKxcPwO7V_9OLL9yCIx3anmZEQXWZzWwdJmB4mH5sWQRj2w==,1855.492,714.323,12.0,37.79979,-122.40834,"37.79979,-122.40834"
XwkAhgPuTsSxBM1Z0G2ayjMHz6YZqQFBRVU7He7FY6R8N6r13SZfYA==,6507.738,1362.992,23.0,37.800046977658894,-122.45958044459428,"37.800046977658894,-122.45958044459428"
T_P3ikBPFCIE0cvo2Zt1k7X_bCWBaqOGx1DnNe9WVoMjshWme8627Q==,5833.658,1297.703,22.0,37.765956,-122.449679,"37.765956,-122.449679"
0ZdLy4NyfKh0cMgE3HEr512zlZYa-QvnEiC6_OACQW62Q_ty5IlnDQ==,3913.453,934.436,16.0,37.775244759082085,-122.4380604766232,"37.775244759082085,-122.4380604766232"
aLvJilhYhAtys8PXBhpZNejfjBg7pxenT2ic_uJI_L5ujv4k0jlbOA==,500.757,180.138,3.0,37.784837858877935,-122.4093022,"37.784837858877935,-122.4093022"
W0b0UpXfbbMNrfZBETIJ7CTBbbC5dPc5anDB00UuaQgQT34WTURwZQ==,4940.22,1039.259,17.0,37.773205,-122.450644,"37.773205,-122.450644"
tewIEZgrXhpUmqXZ2fsut46SM5nMZS2Mk4OxY3IYLot9iMBOVg6UoA==,6862.049,1361.506,23.0,37.764084,-122.46228,"37.764084,-122.46228"
xwci0deOE-EjgrK2UWdo8ptxwUVMIa-0408NGL_XF_9HEmC4m27GXw==,2020.69,547.136,9.0,37.78601,-122.42858,"37.78601,-122.42858"
rXOML3ovxCAYDhAIg_etPT6Snl9pXi6lt5hCEY816HhPVgxshpRRNg==,2566.21,675.521,11.0,37.782061,-122.4327,"37.782061,-122.4327"
KQRfED4MXzuA2M5f-036xx0NVZjZ_rCjfYTKLiPqkBktv_QTCdxMEQ==,3861.904,996.745,17.0,37.76872324000296,-122.42928109103332,"37.76872324000296,-122.42928109103332"
9sv0kHIT4HJFE9hNYM3h0JSpOt_5wKeLYbfTU7yAcef3zbjn9OVkjQ==,5728.561,1484.47,25.0,37.751066336195144,-122.4337981,"37.751066336195144,-122.4337981"
qQ1GZPzlJUa9y8F_P2nFTwLshTd8S9R6wn_leIp1IDC_CG0HL19K6g==,8580.838,1588.553,26.0,37.77542873995666,-122.49884228441336,"37.77542873995666,-122.49884228441336"
Pes7L8QNZWhXxBPPAlKtBQ7_OnC9_aTjwh4jjHkGINyYOmimRVO8sQ==,1976.296,618.342,10.0,37.78249,-122.39266,"37.78249,-122.39266"
T8R1lNjNiWqMUOD9CkK-V4y8cALEYPruRheurfC4Yjr1E-I-gdraNA==,7441.0,1490.136,25.0,37.762389,-122.466065,"37.762389,-122.466065"
DGfTWZvhUgP2lSJKXQIJHMiWNJnH1yF9IvmzSRRzLygLG66OOrX-nw==,2104.327,571.589,10.0,37.78575,-122.4301,"37.78575,-122.4301"
r5EwkXii-ORpCEnWsMZsUB0VRgMOkcpBhn7I7caHNj_uGHpwq1qKZg==,3811.194,964.857,16.0,37.7666182758937,-122.430262778253,"37.7666182758937,-122.430262778253"
XsanYwemJ33DHEXIwQDyvMfLsrJVisEmbhpFZZbm3CJvSY_Ps4Se2w==,11336.043,1946.962,32.0,37.74460699178949,-122.48616693946488,"37.74460699178949,-122.48616693946488"
MsWR0XmjSSxRXBlB2yFMHbUXYOHOmqucT6EUd1V0dqePjDsV82b2Sg==,5731.728,1057.748,18.0,37.78101,-122.47126,"37.78101,-122.47126"
Q9Uvc9xrF6qlgNqPBV1K2HW9cPGD9yEozQ85qRqloZs6EHmFG71Qkg==,4104.718,1073.593,18.0,37.764290777795395,-122.43072410226956,"37.764290777795395,-122.43072410226956"
2TOFS6Em6EhKY58JFTJYHlOhoEi-6l0UIZCo8xubCgpJik7lkyJAXg==,5910.079,1230.46,21.0,37.769266067639215,-122.45205007340454,"37.769266067639215,-122.45205007340454"
6FNkZ9fL-K5iex2a9CUZEnvsi0Yn9pjhuQD1OG0E3m1RfamVAXmj4g==,3963.221,960.359,16.0,37.77480087023776,-122.43798509114356,"37.77480087023776,-122.43798509114356"
o1QQciozqcfl-Exa7cdJz1FQM45R6ENcNWsUvnhPCey0CR0KYCktvg==,4746.401,1227.367,20.0,37.76116,-122.43414,"37.76116,-122.43414"
lYndqEgH74EC2izTlbqHOQdJ955b6obAysb7_bhFCnJ2ofxfO5scSw==,3828.352,997.156,17.0,37.77502915705348,-122.43761001966246,"37.77502915705348,-122.43761001966246"
KztH7eyAx757gAqTMmv_wXLWFJPBmFv4YSor88TIa0etz794ovX_Ig==,3047.837,777.316,13.0,37.79094,-122.43443,"37.79094,-122.43443"
-ixYVGCkxKKiFZbKDmE2IHnP9ksLo0ief4Vii1GYo7BF_r3rZKz25A==,7095.246,1358.071,23.0,37.7838344,-122.4830463,"37.7838344,-122.4830463"
8PQb9vr2UCZRpXU9FafIZ8mHCZtX6jNKgMAy3PlKrbRW07KPqwYujQ==,2743.288,658.784,11.0,37.788292,-122.433458,"37.788292,-122.433458"
pvPThG-Viz2Nbv2E7fkhcKHo2SyC_At-up9z3hflxNkDHFEwRGvRrg==,3971.045,996.591,17.0,37.774507,-122.437427,"37.774507,-122.437427"
YrQr0hliEZQQYaxzvXTrK9_3NG6InTGgPJWdcPl5zVlJtr0jho8QRw==,2784.181,675.141,11.0,37.788589,-122.434054,"37.788589,-122.434054"
nB-hYIUw-Xr53lxUatvEHtmhwPI4JlSLX4sAlGVo2xrJnPqGCfEHnA==,1739.134,465.485,8.0,37.78924,-122.42065,"37.78924,-122.42065"
KSAcVrsl2_CwWUTiI0kWWoPii90IwweMMVn9d10BqyF3FfOoNab_Zw==,2859.74,707.372,12.0,37.7893075,-122.43380556906494,"37.7893075,-122.43380556906494"
bAnM6PqXv6lVOu0WOGwQiUpggGMnsiHN3YLgKtB62dP9uNHQ8Sqp9w==,1956.706,578.421,10.0,37.79982,-122.40783,"37.79982,-122.40783"
WLCYchMoVjzsofxHE3rFzGVaGs0JfFrv5GeL7tjLaKQMFvvgyOB8yg==,4201.878,1060.632,18.0,37.76439,-122.4334,"37.76439,-122.4334"
